id,hook,title,for,cat,link,comentarios,thumb
ig-DN02je9Wqi3,,l8 Maggio 2000 La musica era il filo invisibile,vocalist/rapper,"vibes, performance, transition hook",https://www.instagram.com/reel/DN02je9Wqi3/?igsh=ZjBqaWc4Z3E2NmNp,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/5b992c419e5922050e1d36bad5fb83825071bbff.jpg
ig-DMa3rO3I1zB,I wasn't sad I just needed to listen to The Weeknd,cure,vocalist/rapper,"performance, educational, transition hook, vibes",https://www.instagram.com/reel/DMa3rO3I1zB/?igsh=MWZkYzNyeDdpa3N4aQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/eec673a1f1def5be7cf5a7af0ea06d23bbf3d7e4.jpg
ig-DHwk3guiSft,,my oh my . . .,vocalist/rapper,"performance, vibes, transition hook, relatable",https://www.instagram.com/reel/DHwk3guiSft/?igsh=d24wOG02ZWsyYjN0,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/d9e71ae81f03906496d12e4e88c939ae8faa6683.jpg
ig-DOMngc2jejr,Se acuerdan de esto video?,Sale o no sale??,vocalist/rapper,"performance, transition hook, vibes",https://www.instagram.com/reel/DOMngc2jejr/?igsh=MXp4NDBxbzNua2c4,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/3a33d39fe30f7f0dc47b95b88f56966c861db2a2.jpg
ig-DOBNsCnDECZ,,Demon Hunters babyyyy,musician/band,"performance, vibes, storytelling, relatable",https://www.instagram.com/reel/DOBNsCnDECZ/?igsh=aDN5NzFvNW84djky,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/787b7d73d69cc1208db500fc8aa6e42115e3517c.jpg
ig-DN9NbxRkrr5,,The human heart is the only thing whose worth,vocalist/rapper,"performance, vibes, transition hook",https://www.instagram.com/reel/DN9NbxRkrr5/?igsh=MXUyOGZ1cTY1NWt0bg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/7f9aae90e0bd0f11b18c04899115c8c178e1dbb7.jpg
ig-DK3E5pKxsa6,,talk 2 me,producer,"storytelling, performance, educational",https://www.instagram.com/reel/DK3E5pKxsa6/?igsh=anV1YmRhM3N3eTV3,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/2ebf0776bb449eb69a90e0e28e6d6c6d26c6b5f9.jpg
ig-DNHTQhhMLJK,Adivina la cancion: nivel medio,Vibes · Performance · Storytelling,musician/band,"vibes, performance, storytelling",https://www.instagram.com/reel/DNHTQhhMLJK/?igsh=MW42N3l2eWI3ODdwMA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/6f26227aa662da6ac2a4e3894efd664b0076ffdc.jpg
ig-C1nW9mpu0cl,,Tirando sobre pista de @shedtracks_,musicos,"vibes, performance, relatable",https://www.instagram.com/reel/C1nW9mpu0cl/?igsh=MWR3dDI5bW5yMXBmNA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/ddc820e18e1e8daf857217657d71541ab9b2e6a6.jpg
ig-DN39xguiYK_,"Adivina la cancion, nivel intermedio",Oro de ley,musician/band,"vibes, performance, relatable",https://www.instagram.com/reel/DN39xguiYK_/?igsh=aDFvM3YzbmpyOXVr,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/21fd833cf8d9d6149f0a25f5d732a8293883edde.jpg
